Stock,Expiration,DTE,% Distance,Strike,Premium,Delta,Stock Price,SMA 200,% Stock Dist SMA,% Strike Dist SMA,RSI 14,Lower BB,% Strike Dist Lower BB
TSLA,2026-05-22,18,3.0,380.0,9.85,-0.0,390.82,402.4926,-2.9001,-5.5883,56.1443,335.8743,13.1376
TSLA,2026-05-22,18,5.0,370.0,6.55,-0.0,390.82,402.4926,-2.9001,-8.0728,56.1443,335.8743,10.1603
TSLA,2026-05-22,18,8.0,360.0,4.21,-0.0,390.82,402.4926,-2.9001,-10.5574,56.1443,335.8743,7.183
TSLA,2026-05-22,18,10.0,350.0,2.63,-0.0,390.82,402.4926,-2.9001,-13.0419,56.1443,335.8743,4.2057
TSLA,2026-05-22,18,15.0,330.0,1.08,-0.0,390.82,402.4926,-2.9001,-18.0109,56.1443,335.8743,-1.749
TSLA,2026-05-22,18,20.0,315.0,0.63,-0.0,390.82,402.4926,-2.9001,-21.7377,56.1443,335.8743,-6.2149
TSLA,2026-05-29,25,3.0,380.0,11.77,-0.0001,390.82,402.4926,-2.9001,-5.5883,56.1443,335.8743,13.1376
TSLA,2026-05-29,25,5.0,370.0,8.15,-0.0002,390.82,402.4926,-2.9001,-8.0728,56.1443,335.8743,10.1603
TSLA,2026-05-29,25,8.0,360.0,5.6,-0.0,390.82,402.4926,-2.9001,-10.5574,56.1443,335.8743,7.183
TSLA,2026-05-29,25,10.0,350.0,3.7,-0.0,390.82,402.4926,-2.9001,-13.0419,56.1443,335.8743,4.2057
TSLA,2026-05-29,25,15.0,330.0,1.66,-0.0,390.82,402.4926,-2.9001,-18.0109,56.1443,335.8743,-1.749
TSLA,2026-05-29,25,20.0,315.0,0.91,-0.0,390.82,402.4926,-2.9001,-21.7377,56.1443,335.8743,-6.2149
TSLA,2026-06-05,32,3.0,380.0,13.95,-0.0,390.82,402.4926,-2.9001,-5.5883,56.1443,335.8743,13.1376
TSLA,2026-06-05,32,5.0,370.0,10.1,-0.0,390.82,402.4926,-2.9001,-8.0728,56.1443,335.8743,10.1603
TSLA,2026-06-05,32,8.0,360.0,6.75,-0.0,390.82,402.4926,-2.9001,-10.5574,56.1443,335.8743,7.183
TSLA,2026-06-05,32,10.0,350.0,5.07,-0.0,390.82,402.4926,-2.9001,-13.0419,56.1443,335.8743,4.2057
TSLA,2026-06-05,32,15.0,330.0,2.47,-0.0,390.82,402.4926,-2.9001,-18.0109,56.1443,335.8743,-1.749
TSLA,2026-06-05,32,20.0,315.0,1.37,-0.0,390.82,402.4926,-2.9001,-21.7377,56.1443,335.8743,-6.2149
TSLA,2026-06-12,39,3.0,380.0,15.52,-0.0,390.82,402.4926,-2.9001,-5.5883,56.1443,335.8743,13.1376
TSLA,2026-06-12,39,5.0,370.0,11.75,-0.0,390.82,402.4926,-2.9001,-8.0728,56.1443,335.8743,10.1603
TSLA,2026-06-12,39,8.0,360.0,8.65,-0.0,390.82,402.4926,-2.9001,-10.5574,56.1443,335.8743,7.183
TSLA,2026-06-12,39,10.0,350.0,6.35,-0.0,390.82,402.4926,-2.9001,-13.0419,56.1443,335.8743,4.2057
TSLA,2026-06-12,39,15.0,330.0,3.39,-0.0,390.82,402.4926,-2.9001,-18.0109,56.1443,335.8743,-1.749
TSLA,2026-06-12,39,20.0,315.0,2.0,-0.0,390.82,402.4926,-2.9001,-21.7377,56.1443,335.8743,-6.2149
TSLA,2026-06-18,45,3.0,380.0,17.12,-0.0,390.82,402.4926,-2.9001,-5.5883,56.1443,335.8743,13.1376
TSLA,2026-06-18,45,5.0,370.0,13.2,-0.0,390.82,402.4926,-2.9001,-8.0728,56.1443,335.8743,10.1603
TSLA,2026-06-18,45,8.0,360.0,10.03,-0.0,390.82,402.4926,-2.9001,-10.5574,56.1443,335.8743,7.183
TSLA,2026-06-18,45,10.0,350.0,7.5,-0.0,390.82,402.4926,-2.9001,-13.0419,56.1443,335.8743,4.2057
TSLA,2026-06-18,45,15.0,330.0,3.99,-0.0,390.82,402.4926,-2.9001,-18.0109,56.1443,335.8743,-1.749
TSLA,2026-06-18,45,20.0,315.0,2.45,-0.0,390.82,402.4926,-2.9001,-21.7377,56.1443,335.8743,-6.2149
AMZN,2026-05-22,18,3.0,260.0,3.55,-0.0,268.26,227.3775,17.98,14.3473,78.1244,214.6165,21.1463
AMZN,2026-05-22,18,5.0,255.0,2.5,-0.0001,268.26,227.3775,17.98,12.1483,78.1244,214.6165,18.8166
AMZN,2026-05-22,18,8.0,245.0,1.07,-0.0,268.26,227.3775,17.98,7.7504,78.1244,214.6165,14.1571
AMZN,2026-05-22,18,10.0,240.0,0.76,-0.0,268.26,227.3775,17.98,5.5514,78.1244,214.6165,11.8274
AMZN,2026-05-22,18,15.0,230.0,0.38,-0.0,268.26,227.3775,17.98,1.1534,78.1244,214.6165,7.1679
AMZN,2026-05-22,18,20.0,215.0,0.16,-0.0,268.26,227.3775,17.98,-5.4436,78.1244,214.6165,0.1787
AMZN,2026-05-29,25,3.0,260.0,4.5,-0.0,268.26,227.3775,17.98,14.3473,78.1244,214.6165,21.1463
AMZN,2026-05-29,25,5.0,255.0,3.13,-0.0,268.26,227.3775,17.98,12.1483,78.1244,214.6165,18.8166
AMZN,2026-05-29,25,8.0,245.0,1.55,-0.0,268.26,227.3775,17.98,7.7504,78.1244,214.6165,14.1571
AMZN,2026-05-29,25,10.0,240.0,1.07,-0.0002,268.26,227.3775,17.98,5.5514,78.1244,214.6165,11.8274
AMZN,2026-05-29,25,15.0,230.0,0.58,-0.0,268.26,227.3775,17.98,1.1534,78.1244,214.6165,7.1679
AMZN,2026-05-29,25,20.0,215.0,0.26,-0.0,268.26,227.3775,17.98,-5.4436,78.1244,214.6165,0.1787
AMZN,2026-06-05,32,3.0,260.0,5.46,-0.0001,268.26,227.3775,17.98,14.3473,78.1244,214.6165,21.1463
AMZN,2026-06-05,32,5.0,255.0,4.15,-0.0,268.26,227.3775,17.98,12.1483,78.1244,214.6165,18.8166
AMZN,2026-06-05,32,8.0,245.0,2.16,-0.0,268.26,227.3775,17.98,7.7504,78.1244,214.6165,14.1571
AMZN,2026-06-05,32,10.0,240.0,1.69,-0.0,268.26,227.3775,17.98,5.5514,78.1244,214.6165,11.8274
AMZN,2026-06-05,32,15.0,230.0,0.88,-0.0,268.26,227.3775,17.98,1.1534,78.1244,214.6165,7.1679
AMZN,2026-06-05,32,20.0,215.0,0.44,-0.0,268.26,227.3775,17.98,-5.4436,78.1244,214.6165,0.1787
AMZN,2026-06-12,39,3.0,260.0,6.7,-0.0002,268.26,227.3775,17.98,14.3473,78.1244,214.6165,21.1463
AMZN,2026-06-12,39,5.0,255.0,4.8,-0.0,268.26,227.3775,17.98,12.1483,78.1244,214.6165,18.8166
AMZN,2026-06-12,39,8.0,245.0,2.83,-0.0,268.26,227.3775,17.98,7.7504,78.1244,214.6165,14.1571
AMZN,2026-06-12,39,10.0,240.0,2.07,-0.0,268.26,227.3775,17.98,5.5514,78.1244,214.6165,11.8274
AMZN,2026-06-12,39,15.0,230.0,1.2,-0.0,268.26,227.3775,17.98,1.1534,78.1244,214.6165,7.1679
AMZN,2026-06-12,39,20.0,215.0,0.57,-0.0,268.26,227.3775,17.98,-5.4436,78.1244,214.6165,0.1787
AMZN,2026-06-18,45,3.0,260.0,7.05,-0.0,268.26,227.3775,17.98,14.3473,78.1244,214.6165,21.1463
AMZN,2026-06-18,45,5.0,255.0,5.62,-0.0,268.26,227.3775,17.98,12.1483,78.1244,214.6165,18.8166
AMZN,2026-06-18,45,8.0,245.0,3.38,-0.0,268.26,227.3775,17.98,7.7504,78.1244,214.6165,14.1571
AMZN,2026-06-18,45,10.0,240.0,2.53,-0.0,268.26,227.3775,17.98,5.5514,78.1244,214.6165,11.8274
AMZN,2026-06-18,45,15.0,230.0,1.56,-0.0001,268.26,227.3775,17.98,1.1534,78.1244,214.6165,7.1679
AMZN,2026-06-18,45,20.0,215.0,0.79,-0.0,268.26,227.3775,17.98,-5.4436,78.1244,214.6165,0.1787
GOOGL,2026-05-22,18,3.0,375.0,6.9,-0.0,385.69,280.8665,37.3215,33.5154,82.5407,293.4411,27.794
GOOGL,2026-05-22,18,5.0,365.0,3.75,-0.0,385.69,280.8665,37.3215,29.955,82.5407,293.4411,24.3861
GOOGL,2026-05-22,18,8.0,355.0,2.17,-0.0,385.69,280.8665,37.3215,26.3946,82.5407,293.4411,20.9783
GOOGL,2026-05-22,18,10.0,345.0,1.27,-0.0,385.69,280.8665,37.3215,22.8342,82.5407,293.4411,17.5704
GOOGL,2026-05-22,18,15.0,330.0,0.77,-0.0,385.69,280.8665,37.3215,17.4936,82.5407,293.4411,12.4587
GOOGL,2026-05-22,18,20.0,310.0,0.36,-0.0,385.69,280.8665,37.3215,10.3727,82.5407,293.4411,5.643
GOOGL,2026-05-29,25,3.0,375.0,7.57,-0.0001,385.69,280.8665,37.3215,33.5154,82.5407,293.4411,27.794
GOOGL,2026-05-29,25,5.0,365.0,4.65,-0.0002,385.69,280.8665,37.3215,29.955,82.5407,293.4411,24.3861
GOOGL,2026-05-29,25,8.0,355.0,2.9,-0.0,385.69,280.8665,37.3215,26.3946,82.5407,293.4411,20.9783
GOOGL,2026-05-29,25,10.0,345.0,1.76,-0.0,385.69,280.8665,37.3215,22.8342,82.5407,293.4411,17.5704
GOOGL,2026-05-29,25,15.0,330.0,0.98,-0.0,385.69,280.8665,37.3215,17.4936,82.5407,293.4411,12.4587
GOOGL,2026-05-29,25,20.0,310.0,0.47,-0.0,385.69,280.8665,37.3215,10.3727,82.5407,293.4411,5.643
GOOGL,2026-06-05,32,3.0,375.0,9.0,-0.0,385.69,280.8665,37.3215,33.5154,82.5407,293.4411,27.794
GOOGL,2026-06-05,32,5.0,365.0,5.9,-0.0,385.69,280.8665,37.3215,29.955,82.5407,293.4411,24.3861
GOOGL,2026-06-05,32,8.0,355.0,3.86,-0.0,385.69,280.8665,37.3215,26.3946,82.5407,293.4411,20.9783
GOOGL,2026-06-05,32,10.0,345.0,2.5,-0.0,385.69,280.8665,37.3215,22.8342,82.5407,293.4411,17.5704
GOOGL,2026-06-05,32,15.0,330.0,1.39,-0.0,385.69,280.8665,37.3215,17.4936,82.5407,293.4411,12.4587
GOOGL,2026-06-05,32,20.0,310.0,0.71,-0.0,385.69,280.8665,37.3215,10.3727,82.5407,293.4411,5.643
GOOGL,2026-06-12,39,3.0,375.0,10.9,-0.0,385.69,280.8665,37.3215,33.5154,82.5407,293.4411,27.794
GOOGL,2026-06-12,39,5.0,365.0,7.95,-0.0,385.69,280.8665,37.3215,29.955,82.5407,293.4411,24.3861
GOOGL,2026-06-12,39,8.0,355.0,5.52,-0.0,385.69,280.8665,37.3215,26.3946,82.5407,293.4411,20.9783
GOOGL,2026-06-12,39,10.0,345.0,3.4,-0.0,385.69,280.8665,37.3215,22.8342,82.5407,293.4411,17.5704
GOOGL,2026-06-12,39,15.0,330.0,1.88,-0.0,385.69,280.8665,37.3215,17.4936,82.5407,293.4411,12.4587
GOOGL,2026-06-12,39,20.0,310.0,1.0,-0.0,385.69,280.8665,37.3215,10.3727,82.5407,293.4411,5.643
GOOGL,2026-06-18,45,3.0,375.0,11.64,-0.0,385.69,280.8665,37.3215,33.5154,82.5407,293.4411,27.794
GOOGL,2026-06-18,45,5.0,365.0,8.25,-0.0,385.69,280.8665,37.3215,29.955,82.5407,293.4411,24.3861
GOOGL,2026-06-18,45,8.0,355.0,5.79,-0.0,385.69,280.8665,37.3215,26.3946,82.5407,293.4411,20.9783
GOOGL,2026-06-18,45,10.0,345.0,4.04,-0.0,385.69,280.8665,37.3215,22.8342,82.5407,293.4411,17.5704
GOOGL,2026-06-18,45,15.0,330.0,2.42,-0.0001,385.69,280.8665,37.3215,17.4936,82.5407,293.4411,12.4587
GOOGL,2026-06-18,45,20.0,310.0,1.33,-0.0,385.69,280.8665,37.3215,10.3727,82.5407,293.4411,5.643
AAPL,2026-05-22,18,3.0,270.0,2.48,-0.0,280.14,254.9014,9.9013,5.9233,66.4362,252.6626,6.8619
AAPL,2026-05-22,18,5.0,265.0,1.57,-0.0,280.14,254.9014,9.9013,3.9618,66.4362,252.6626,4.8829
AAPL,2026-05-22,18,8.0,260.0,1.03,-0.0,280.14,254.9014,9.9013,2.0002,66.4362,252.6626,2.904
AAPL,2026-05-22,18,10.0,250.0,0.52,-0.0,280.14,254.9014,9.9013,-1.9228,66.4362,252.6626,-1.0538
AAPL,2026-05-22,18,15.0,240.0,0.32,-0.0,280.14,254.9014,9.9013,-5.8459,66.4362,252.6626,-5.0117
AAPL,2026-05-22,18,20.0,225.0,0.14,-0.0,280.14,254.9014,9.9013,-11.7306,66.4362,252.6626,-10.9484
AAPL,2026-05-29,25,3.0,270.0,3.17,-0.0,280.14,254.9014,9.9013,5.9233,66.4362,252.6626,6.8619
AAPL,2026-05-29,25,5.0,265.0,2.13,-0.0002,280.14,254.9014,9.9013,3.9618,66.4362,252.6626,4.8829
AAPL,2026-05-29,25,8.0,260.0,1.45,-0.0,280.14,254.9014,9.9013,2.0002,66.4362,252.6626,2.904
AAPL,2026-05-29,25,10.0,250.0,0.71,-0.0002,280.14,254.9014,9.9013,-1.9228,66.4362,252.6626,-1.0538
AAPL,2026-05-29,25,15.0,240.0,0.43,-0.0,280.14,254.9014,9.9013,-5.8459,66.4362,252.6626,-5.0117
AAPL,2026-05-29,25,20.0,225.0,0.2,-0.0,280.14,254.9014,9.9013,-11.7306,66.4362,252.6626,-10.9484
AAPL,2026-06-05,32,3.0,270.0,3.8,-0.0,280.14,254.9014,9.9013,5.9233,66.4362,252.6626,6.8619
AAPL,2026-06-05,32,5.0,265.0,2.68,-0.0,280.14,254.9014,9.9013,3.9618,66.4362,252.6626,4.8829
AAPL,2026-06-05,32,8.0,260.0,1.91,-0.0,280.14,254.9014,9.9013,2.0002,66.4362,252.6626,2.904
AAPL,2026-06-05,32,10.0,250.0,1.01,-0.0,280.14,254.9014,9.9013,-1.9228,66.4362,252.6626,-1.0538
AAPL,2026-06-05,32,15.0,240.0,0.62,-0.0,280.14,254.9014,9.9013,-5.8459,66.4362,252.6626,-5.0117
AAPL,2026-06-05,32,20.0,225.0,0.28,-0.0,280.14,254.9014,9.9013,-11.7306,66.4362,252.6626,-10.9484
AAPL,2026-06-12,39,3.0,270.0,4.69,-0.0,280.14,254.9014,9.9013,5.9233,66.4362,252.6626,6.8619
AAPL,2026-06-12,39,5.0,265.0,3.39,-0.0,280.14,254.9014,9.9013,3.9618,66.4362,252.6626,4.8829
AAPL,2026-06-12,39,8.0,260.0,2.53,-0.0,280.14,254.9014,9.9013,2.0002,66.4362,252.6626,2.904
AAPL,2026-06-12,39,10.0,250.0,1.29,-0.0,280.14,254.9014,9.9013,-1.9228,66.4362,252.6626,-1.0538
AAPL,2026-06-12,39,15.0,240.0,0.9,-0.0,280.14,254.9014,9.9013,-5.8459,66.4362,252.6626,-5.0117
AAPL,2026-06-12,39,20.0,225.0,0.45,-0.0,280.14,254.9014,9.9013,-11.7306,66.4362,252.6626,-10.9484
AAPL,2026-06-18,45,3.0,270.0,5.19,-0.0,280.14,254.9014,9.9013,5.9233,66.4362,252.6626,6.8619
AAPL,2026-06-18,45,5.0,265.0,3.91,-0.0,280.14,254.9014,9.9013,3.9618,66.4362,252.6626,4.8829
AAPL,2026-06-18,45,8.0,260.0,2.95,-0.0001,280.14,254.9014,9.9013,2.0002,66.4362,252.6626,2.904
AAPL,2026-06-18,45,10.0,250.0,1.7,-0.0,280.14,254.9014,9.9013,-1.9228,66.4362,252.6626,-1.0538
AAPL,2026-06-18,45,15.0,240.0,1.06,-0.0001,280.14,254.9014,9.9013,-5.8459,66.4362,252.6626,-5.0117
AAPL,2026-06-18,45,20.0,225.0,0.56,-0.0,280.14,254.9014,9.9013,-11.7306,66.4362,252.6626,-10.9484
MSFT,2026-05-22,18,3.0,400.0,5.15,-0.0,414.44,466.6353,-11.1855,-14.2799,54.4954,360.5011,10.9567
MSFT,2026-05-22,18,5.0,395.0,3.45,-0.0001,414.44,466.6353,-11.1855,-15.3514,54.4954,360.5011,9.5697
MSFT,2026-05-22,18,8.0,380.0,1.74,-0.0,414.44,466.6353,-11.1855,-18.5659,54.4954,360.5011,5.4088
MSFT,2026-05-22,18,10.0,375.0,1.25,-0.0001,414.44,466.6353,-11.1855,-19.6374,54.4954,360.5011,4.0219
MSFT,2026-05-22,18,15.0,350.0,0.37,-0.0,414.44,466.6353,-11.1855,-24.995,54.4954,360.5011,-2.9129
MSFT,2026-05-22,18,20.0,330.0,0.17,-0.0,414.44,466.6353,-11.1855,-29.281,54.4954,360.5011,-8.4608
MSFT,2026-05-29,25,3.0,400.0,6.12,-0.0,414.44,466.6353,-11.1855,-14.2799,54.4954,360.5011,10.9567
MSFT,2026-05-29,25,5.0,395.0,4.7,-0.0,414.44,466.6353,-11.1855,-15.3514,54.4954,360.5011,9.5697
MSFT,2026-05-29,25,8.0,380.0,2.25,-0.0,414.44,466.6353,-11.1855,-18.5659,54.4954,360.5011,5.4088
MSFT,2026-05-29,25,10.0,375.0,1.6,-0.0,414.44,466.6353,-11.1855,-19.6374,54.4954,360.5011,4.0219
MSFT,2026-05-29,25,15.0,350.0,0.56,-0.0,414.44,466.6353,-11.1855,-24.995,54.4954,360.5011,-2.9129
MSFT,2026-05-29,25,20.0,330.0,0.25,-0.0,414.44,466.6353,-11.1855,-29.281,54.4954,360.5011,-8.4608
MSFT,2026-06-05,32,3.0,400.0,7.64,-0.0,414.44,466.6353,-11.1855,-14.2799,54.4954,360.5011,10.9567
MSFT,2026-06-05,32,5.0,395.0,6.22,-0.0,414.44,466.6353,-11.1855,-15.3514,54.4954,360.5011,9.5697
MSFT,2026-06-05,32,8.0,380.0,3.07,-0.0,414.44,466.6353,-11.1855,-18.5659,54.4954,360.5011,5.4088
MSFT,2026-06-05,32,10.0,375.0,2.28,-0.0,414.44,466.6353,-11.1855,-19.6374,54.4954,360.5011,4.0219
MSFT,2026-06-05,32,15.0,350.0,0.76,-0.0,414.44,466.6353,-11.1855,-24.995,54.4954,360.5011,-2.9129
MSFT,2026-06-05,32,20.0,330.0,0.48,-0.0,414.44,466.6353,-11.1855,-29.281,54.4954,360.5011,-8.4608
MSFT,2026-06-12,39,3.0,400.0,8.22,-0.0,414.44,466.6353,-11.1855,-14.2799,54.4954,360.5011,10.9567
MSFT,2026-06-12,39,5.0,395.0,6.85,-0.0,414.44,466.6353,-11.1855,-15.3514,54.4954,360.5011,9.5697
MSFT,2026-06-12,39,8.0,380.0,4.0,-0.0,414.44,466.6353,-11.1855,-18.5659,54.4954,360.5011,5.4088
MSFT,2026-06-12,39,10.0,375.0,3.01,-0.0,414.44,466.6353,-11.1855,-19.6374,54.4954,360.5011,4.0219
MSFT,2026-06-12,39,15.0,350.0,1.15,-0.0,414.44,466.6353,-11.1855,-24.995,54.4954,360.5011,-2.9129
MSFT,2026-06-12,39,20.0,325.0,0.47,-0.0,414.44,466.6353,-11.1855,-30.3525,54.4954,360.5011,-9.8477
MSFT,2026-06-18,45,3.0,400.0,9.73,-0.0,414.44,466.6353,-11.1855,-14.2799,54.4954,360.5011,10.9567
MSFT,2026-06-18,45,5.0,395.0,8.2,-0.0,414.44,466.6353,-11.1855,-15.3514,54.4954,360.5011,9.5697
MSFT,2026-06-18,45,8.0,380.0,4.7,-0.0,414.44,466.6353,-11.1855,-18.5659,54.4954,360.5011,5.4088
MSFT,2026-06-18,45,10.0,375.0,3.82,-0.0,414.44,466.6353,-11.1855,-19.6374,54.4954,360.5011,4.0219
MSFT,2026-06-18,45,15.0,350.0,1.47,-0.0,414.44,466.6353,-11.1855,-24.995,54.4954,360.5011,-2.9129
MSFT,2026-06-18,45,20.0,330.0,0.75,-0.0,414.44,466.6353,-11.1855,-29.281,54.4954,360.5011,-8.4608
WMT,2026-05-22,18,3.0,128.0,2.79,-0.0,131.6,112.0505,17.447,14.2342,60.9553,122.5231,4.4701
WMT,2026-05-22,18,5.0,125.0,1.81,-0.0,131.6,112.0505,17.447,11.5568,60.9553,122.5231,2.0216
WMT,2026-05-22,18,8.0,121.0,0.95,-0.0,131.6,112.0505,17.447,7.987,60.9553,122.5231,-1.2431
WMT,2026-05-22,18,10.0,118.0,0.58,-0.0,131.6,112.0505,17.447,5.3096,60.9553,122.5231,-3.6916
WMT,2026-05-22,18,15.0,112.0,0.26,-0.0,131.6,112.0505,17.447,-0.0451,60.9553,122.5231,-8.5886
WMT,2026-05-22,18,20.0,105.0,0.11,-0.0,131.6,112.0505,17.447,-6.2923,60.9553,122.5231,-14.3019
WMT,2026-05-29,25,3.0,128.0,2.85,-0.0001,131.6,112.0505,17.447,14.2342,60.9553,122.5231,4.4701
WMT,2026-05-29,25,5.0,125.0,1.95,-0.0004,131.6,112.0505,17.447,11.5568,60.9553,122.5231,2.0216
WMT,2026-05-29,25,8.0,121.0,1.1,-0.0,131.6,112.0505,17.447,7.987,60.9553,122.5231,-1.2431
WMT,2026-05-29,25,10.0,118.0,0.81,-0.0003,131.6,112.0505,17.447,5.3096,60.9553,122.5231,-3.6916
WMT,2026-05-29,25,15.0,112.0,0.34,-0.0,131.6,112.0505,17.447,-0.0451,60.9553,122.5231,-8.5886
WMT,2026-05-29,25,20.0,105.0,0.16,-0.0002,131.6,112.0505,17.447,-6.2923,60.9553,122.5231,-14.3019
WMT,2026-06-05,32,3.0,128.0,3.0,-0.0003,131.6,112.0505,17.447,14.2342,60.9553,122.5231,4.4701
WMT,2026-06-05,32,5.0,125.0,2.24,-0.0,131.6,112.0505,17.447,11.5568,60.9553,122.5231,2.0216
WMT,2026-06-05,32,8.0,121.0,1.4,-0.0,131.6,112.0505,17.447,7.987,60.9553,122.5231,-1.2431
WMT,2026-06-05,32,10.0,118.0,0.9,-0.0,131.6,112.0505,17.447,5.3096,60.9553,122.5231,-3.6916
WMT,2026-06-05,32,15.0,112.0,0.47,-0.0,131.6,112.0505,17.447,-0.0451,60.9553,122.5231,-8.5886
WMT,2026-06-05,32,20.0,105.0,0.28,-0.0,131.6,112.0505,17.447,-6.2923,60.9553,122.5231,-14.3019
WMT,2026-06-12,39,3.0,128.0,3.55,-0.0,131.6,112.0505,17.447,14.2342,60.9553,122.5231,4.4701
WMT,2026-06-12,39,5.0,125.0,2.59,-0.0,131.6,112.0505,17.447,11.5568,60.9553,122.5231,2.0216
WMT,2026-06-12,39,8.0,121.0,1.54,-0.0,131.6,112.0505,17.447,7.987,60.9553,122.5231,-1.2431
WMT,2026-06-12,39,10.0,118.0,1.78,-0.0,131.6,112.0505,17.447,5.3096,60.9553,122.5231,-3.6916
WMT,2026-06-12,39,15.0,115.0,0.64,-0.0003,131.6,112.0505,17.447,2.6323,60.9553,122.5231,-6.1401
WMT,2026-06-12,39,20.0,115.0,0.64,-0.0003,131.6,112.0505,17.447,2.6323,60.9553,122.5231,-6.1401
WMT,2026-06-18,45,3.0,130.0,4.58,-0.0,131.6,112.0505,17.447,16.0191,60.9553,122.5231,6.1025
WMT,2026-06-18,45,5.0,125.0,2.83,-0.0,131.6,112.0505,17.447,11.5568,60.9553,122.5231,2.0216
WMT,2026-06-18,45,8.0,120.0,1.63,-0.0,131.6,112.0505,17.447,7.0946,60.9553,122.5231,-2.0593
WMT,2026-06-18,45,10.0,120.0,1.63,-0.0,131.6,112.0505,17.447,7.0946,60.9553,122.5231,-2.0593
WMT,2026-06-18,45,15.0,110.0,0.49,-0.0,131.6,112.0505,17.447,-1.83,60.9553,122.5231,-10.221
WMT,2026-06-18,45,20.0,105.0,0.31,-0.0,131.6,112.0505,17.447,-6.2923,60.9553,122.5231,-14.3019
